id,uuid,title,short_title,raw_idea,refined_idea,description,category,subcategory,topic,niche,content_type,format,target_audience,language,status,priority,source,source_reference,parent_idea_id,root_idea_id,version,idea_hash,created_at,updated_at,scheduled_for,generated_at,published_at,archived_at,is_deleted,category_id
1,3f1f4169-6d85-44d0-8ba2-ee7f22f2b814,Rice Titan Harvester,Rice Titan Harvester,"Rice Titan Harvester
A skyscraper-sized walking machine that strides across entire paddy fields, harvesting thousands of rice plants with colossal articulated arms. Its giant belly contains an automated threshing, drying, and grain-storage complex.",,"A skyscraper-sized walking machine that strides across entire paddy fields, harvesting thousands of rice plants with colossal articulated arms. Its giant belly contains an automated threshing, drying, and grain-storage complex.",Impossible Giant Machine,,Paddy Harvesting,Titan Megastructures,,,,en,ready_for_upload,1,,,,,1,,2026-08-11 15:45:12.760052,2026-08-11 15:45:12.760052,,2026-08-15 18:13:21.920151,,,0,1
2,e9071084-3625-4483-94af-422835090a3a,The Paddy Ocean Vacuum,The Paddy Ocean Vacuum,"The Paddy Ocean Vacuum
A kilometer-long floating megamachine that hovers just above flooded rice fields and gently vacuum-lifts mature rice panicles from the plants. The harvested grain travels through enormous transparent tubes into mobile silos trailing behind it.",,A kilometer-long floating megamachine that hovers just above flooded rice fields and gently vacuum-lifts mature rice panicles from the plants. The harvested grain travels through enormous transparent tubes into mobile silos trailing behind it.,Impossible Giant Machine,,Paddy Harvesting,Titan Megastructures,,,,en,ready_for_upload,2,,,,,1,,2026-08-11 15:45:12.760052,2026-08-11 15:45:12.760052,,2026-08-15 18:14:23.018562,,,0,1
3,9b45ccbd-6e98-44f4-9dde-2972c7a1e5eb,Rice-Field Spider Colossus,Rice-Field Spider Colossus,"Rice-Field Spider Colossus
An eight-legged titan whose enormous feet can step between paddy plots while robotic limbs harvest individual sections. Its central body acts as a gigantic rice mill, turning freshly harvested paddy into polished rice as it moves.",,"An eight-legged titan whose enormous feet can step between paddy plots while robotic limbs harvest individual sections. Its central body acts as a gigantic rice mill, turning freshly harvested paddy into polished rice as it moves.",Impossible Giant Machine,,Paddy Harvesting,Titan Megastructures,,,,en,new,3,,,,,1,,2026-08-11 15:45:12.766570,2026-08-11 15:45:12.766721,,2026-08-15 18:13:54.181340,,,0,1
4,b95bfca3-02c9-4263-b189-314109da0ce7,The Monsoon Harvesting Ark,The Monsoon Harvesting Ark,"The Monsoon Harvesting Ark
A colossal amphibious machine shaped like a futuristic ark, capable of traveling through flooded paddies without damaging the fields. Its massive side-mounted harvesters sweep through acres of rice while onboard systems separate straw, husk, and grain.",,"A colossal amphibious machine shaped like a futuristic ark, capable of traveling through flooded paddies without damaging the fields. Its massive side-mounted harvesters sweep through acres of rice while onboard systems separate straw, husk, and grain.",Impossible Giant Machine,,Paddy Harvesting,Titan Megastructures,,,,en,new,4,,,,,1,,2026-08-11 15:45:12.767276,2026-08-11 15:45:12.767276,,2026-08-15 18:14:00.983786,,,0,1
5,79ce8e55-cca1-4713-9cfb-59ba5b31dc13,Paddy Ring Megaharvester,Paddy Ring Megaharvester,"Paddy Ring Megaharvester
An immense circular machine several kilometers across that surrounds an entire rice-growing region. As the ring slowly contracts, synchronized harvesting arms collect mature rice from every field toward a gigantic central processing station.",,"An immense circular machine several kilometers across that surrounds an entire rice-growing region. As the ring slowly contracts, synchronized harvesting arms collect mature rice from every field toward a gigantic central processing station.",Impossible Giant Machine,,Paddy Harvesting,Titan Megastructures,,,,en,new,5,,,,,1,,2026-08-11 15:45:12.767276,2026-08-11 15:45:12.767276,,2026-08-15 18:14:08.371191,,,0,1
6,f6c04d90-87ea-41dd-8990-ef20f9e35081,Sky Reaper Rice Fortress,Sky Reaper Rice Fortress,"Sky Reaper Rice Fortress
A flying megastructure spanning the width of a paddy landscape, suspended by impossible anti-gravity engines. Hundreds of dangling harvesting towers descend into the fields, cut the rice, and send the crop upward through vertical grain elevators.",,"A flying megastructure spanning the width of a paddy landscape, suspended by impossible anti-gravity engines. Hundreds of dangling harvesting towers descend into the fields, cut the rice, and send the crop upward through vertical grain elevators.",Impossible Giant Machine,,Paddy Harvesting,Titan Megastructures,,,,en,new,6,,,,,1,,2026-08-11 15:45:12.767276,2026-08-11 15:45:12.767276,,2026-08-15 18:14:15.925668,,,0,1
7,d656fdb0-5809-4fc5-a156-78cf1550cb4c,The Rice Comb Superstructure,The Rice Comb Superstructure,"The Rice Comb Superstructure
A continent-scale machine resembling a gigantic comb, with thousands of harvesting teeth moving simultaneously through parallel rice paddies. Each tooth contains miniature threshers, allowing the entire harvest to be processed continuously as the machine advances.",,"A continent-scale machine resembling a gigantic comb, with thousands of harvesting teeth moving simultaneously through parallel rice paddies. Each tooth contains miniature threshers, allowing the entire harvest to be processed continuously as the machine advances.",Impossible Giant Machine,,Paddy Harvesting,Titan Megastructures,,,,en,new,7,,,,,1,,2026-08-11 15:45:12.767276,2026-08-11 15:45:12.767276,,2026-08-15 18:14:59.533045,,,0,1
8,5b926beb-d04a-42ce-8ac5-03093891d597,Paddy-Gulping Harvest Worm,Paddy-Gulping Harvest Worm,"Paddy-Gulping Harvest Worm
A colossal segmented crawler that travels along the boundaries of rice fields, extending flexible harvesting trunks hundreds of meters into the crops. The machine swallows harvested panicles into its enormous body, where grain is separated and stored in individual armored compartments.",,"A colossal segmented crawler that travels along the boundaries of rice fields, extending flexible harvesting trunks hundreds of meters into the crops. The machine swallows harvested panicles into its enormous body, where grain is separated and stored in individual armored compartments.",Impossible Giant Machine,,Paddy Harvesting,Titan Megastructures,,,,en,new,8,,,,,1,,2026-08-11 15:45:12.767276,2026-08-11 15:45:12.767276,,2026-08-15 18:14:34.923922,,,0,1
9,a141dd6a-b91a-4989-9c19-ca0c99f627d9,Rice Moon Harvester,Rice Moon Harvester,"Rice Moon Harvester
A gigantic orbital-looking machine anchored above the fields by towering structures, with a circular harvesting platform rotating like a mechanical moon. It uses hundreds of synchronized telescoping arms to harvest enormous areas at precisely the same moment.",,"A gigantic orbital-looking machine anchored above the fields by towering structures, with a circular harvesting platform rotating like a mechanical moon. It uses hundreds of synchronized telescoping arms to harvest enormous areas at precisely the same moment.",Impossible Giant Machine,,Paddy Harvesting,Titan Megastructures,,,,en,new,9,,,,,1,,2026-08-11 15:45:12.767276,2026-08-11 15:45:12.767276,,2026-08-15 18:14:52.677241,,,0,1
10,27e1f560-c489-4d07-a19f-d39e7e7d5f2c,The Infinite Rice Factory,The Infinite Rice Factory,"The Infinite Rice Factory
A city-sized autonomous machine that combines harvester, threshing plant, dryer, rice mill, packaging facility, and grain silo into one continuously moving megastructure. It enters a paddy region at harvest season and theoretically leaves behind completely harvested, processed, packaged rice—without ever stopping.",,"A city-sized autonomous machine that combines harvester, threshing plant, dryer, rice mill, packaging facility, and grain silo into one continuously moving megastructure. It enters a paddy region at harvest season and theoretically leaves behind completely harvested, processed, packaged rice—without ever stopping.",Impossible Giant Machine,,Paddy Harvesting,Titan Megastructures,,,,en,new,10,,,,,1,,2026-08-11 15:45:12.767276,2026-08-11 15:45:12.767276,,2026-08-15 18:14:58.805906,,,0,1
